time_mean,dimension_mean,IP_destination,IP_source,flags1,flags2,flags3,flags4,flags5,flags6,flags7,flags8,method1,method2,method3,method4,method5,method6,method7,method8,class
5,2528,0,1,750,750,750,750,750,750,750,750,0,0,0,0,0,0,0,0,1
4,2056,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,2756,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,3188,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,1644,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,2226,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,1966,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,2939,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,2190,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,2421,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,3849,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,3164,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,3802,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,2193,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,2139,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,1939,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,2438,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,2810,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,2107,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,4149,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,2908,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,2908,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,1532,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,3940,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,1581,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,3805,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,1930,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,1959,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,3262,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,2987,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,2451,0,1,750,750,750,750,750,750,750,750,0,0,0,0,0,0,0,0,1
1,3092,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,2867,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
