time_mean,dimension_mean,IP_destination,IP_source,dest_port1,dest_port2,dest_port3,dest_port14,dest_port5,dest_port6,dest_port7,dest_port8,traffic_type1,traffic_type2,traffic_type3,traffic_type4,traffic_type5,traffic_type6,traffic_type7,traffic_type8,class
10,8396,1,1,250,0,500,750,250,250,500,250,0,0,0,0,0,0,0,0,1
1,6819,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,8811,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,7921,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,6505,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,6306,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,7704,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,8157,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,6298,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,8647,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,6543,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,8564,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,6538,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,6848,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,7607,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,8941,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,6267,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,7853,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,8308,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,8963,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,7378,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,6437,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,8746,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,6777,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,7433,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,6877,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,6243,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,7856,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,6120,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,7235,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,7810,1,1,750,500,750,0,750,0,250,750,0,0,0,0,0,0,0,0,1
4,6677,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,8974,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,6388,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,6320,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,6522,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,7010,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
