time_mean,dimension_mean,IP_destination,IP_source,flags1,flags2,flags3,flags4,flags5,flags6,flags7,flags8,method1,method2,method3,method4,method5,method6,method7,method8,class
10,3146,0,1,750,750,750,750,750,750,750,750,0,0,0,0,0,0,0,0,1
8,2364,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,2835,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,4417,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,4459,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,4006,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,4306,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,2173,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,4219,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,2556,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,4037,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,3268,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,1684,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,2734,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,2084,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,3962,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,4366,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,3756,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,1900,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,2329,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,1564,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,2499,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,2965,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,4182,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,3452,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,3585,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,2116,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,3443,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,3540,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,2090,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,1913,0,1,750,750,750,750,750,750,750,750,0,0,0,0,0,0,0,0,1
7,3192,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,2240,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,3345,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,1930,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,4196,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,1829,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,2602,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,2920,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
1,4204,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
24,6322,0,0,0,500,500,250,0,250,250,250,250,0,750,250,0,250,0,750,1
8,3632,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,2977,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,3651,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
7,1635,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,2591,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
8,2510,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,3295,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
4,4176,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,3010,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
13,6075,1,1,500,500,250,250,500,250,250,500,500,750,500,500,750,500,500,750,1
3,1616,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
6,3390,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,2575,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,3245,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
5,2803,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
3,2310,1,0,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
2,3060,1,1,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,1
